,ADDITIONAL DESCRIPTION
1015,"For all other incomes (other than salary)- Territorial jurisdction-
A. Rajasthan>>Jaipur district>> Tehsils of Jaipur other than Kotputli >>professional>>
1. Income or loss below 15 lakhs for non corporate  and 20 lakhs for corporate sector

B. Rajasthan>>Jaipur district>> Tehsils of Jaipur other than Kotputli >>salary>>
1. Income or loss below 15 lakhs 
2. First alphabet of name M"
1016,"in following territory:-
Gangori Bazar including right lanes of Gangori Bazar, Atish Market, Brahmpuri, Both sides of Amer Road, Govind Nagar, Parasram Dwara, Both Sides of Gatore Road, Shankar Nagar, Gangapole, Chardarwaza, Shiredhyodi Bazar, Jalebi Chowk, Hawamahal, Chandi Ki Taksal and Subhash Chowk, Both side of M. D. Road, Janta Colony, Burmese Colony, Saket Colony, Sethi Colony, Adarsh Nagar, Gangwal Park, Uniara Garden, Both sides of Govind Marg, Both side of Agra Road, Transport Nagar and Automobile Nagar, Surajpole Mandi, Both Sides of Galta Road, Lanes of Ramganj Bazar, Laxminarainpuri, Raghunathpuri and Bas Badanpura

A. 1. Non Company
- income from sources other than income from business or profession
- Total income/loss Rs. 15 lakhs and above
- In the area mentioned above
- (excluding source of income from (i) “Salary” & (ii) Legal, medical, engineering or architectural profession or the  profession of accountancy or technical consultancy or interior decoration or any other profession)
2. Non Company
- income from business or profession
- Total income/loss Rs. 15 lakhs and above
- In the area mentioned above
3. (Company)
- Total income/loss Rs. 20 lakhs and above
- having its registered office or having its principal place of business in the area mentioned above

B.(Salaried)
- In the District of Jaipur other than tehsils of Kotputali, Shahpura and Virat Nagar
- - Total income/loss Rs. 15 lakhs and above
- first names begin with the alphabet ‘O’ or ‘R’"
1020,"
In following territory:-
Jawahar Nagar, Raja Park, Tilak Nagar, Malviya Nagar, JLN Marg, JLN Circle, Jagatpura (Including Model Town, Bai ji ki Kothi, Indira Gandhi Nagar, Power House, Main Market Jagatpura, Vishnu Puri), Tonk Road (M.I. Road to Airport, areas of both sides and its connected colonies), C-Scheme, Ashok Marg, B.S. Road, Bapu Nagar, Barkat Nagar, Mahesh Nagar, Sahkar Marg, Gopalpura Byepass, Triveni Nagar, 10B and all other areas in the area bound by M.I. Road, Bais Godown Flyover, Gopal pura Bye Pass Road, Dalda Factory, Durgapura, AG Colony, Shakti Nagar, Vasundhara Colony, JP Under pass Road, Bhaskar Flyover, OTS Chauraha, Mahaveer Nagar, Milap Nagar, Green Nagar, Mata Colony, Sita Bari, Basant Vihar.

A. 1. Non Company
- income from sources other than income from business or profession
- Total income/loss Rs. 15 lakhs and above
- In the area mentioned above
- (excluding source of income from (i) “Salary” & (ii) Legal, medical, engineering or architectural profession or the  profession of accountancy or technical consultancy or interior decoration or any other profession)
2. Non Company
- income from business or profession
- Total income/loss Rs. 15 lakhs and above
- In the area mentioned above
3. (Company)
- Total income/loss Rs. 20 lakhs and above
- having its registered office or having its principal place of business in the area mentioned above

B.(Salaried)
- In the District of Jaipur other than tehsils of Kotputali, Shahpura and Virat Nagar
- - Total income/loss Rs. 15 lakhs and above
- first names begin with the alphabet ‘S’"
1021,"In the territory of:-
Tonk Road (from Ajmeri Gate to Gopal pura Byepass and its right side colonies), C-Scheme, Ashok Marg, B.S. Road, Barkat Nagar, Vasundhara Colony, Mahesh Nagar, Surya Nagar and other its adjoining colonies, Sahkar Marg, and all other areas included in the area bounded by MI Road and Ajmer Road, Bais Godown Flyover, Kartarpura Ganda Nala, JP Underpass) ii) Tonk Road (Ajmeri Gate to Gandhi Nagar Mod) and its left side colonies upto JLN Marg which includes Bapu Nagar, Takhteshahi Road

1. Non Company
- income from sources other than income from business or profession
- In the area mentioned above
- (excluding source of income from (i) “Salary” & (ii) Legal, medical, engineering or architectural profession or the  profession of accountancy or technical consultancy or interior decoration or any other profession)
2. Non Company
- income from business or profession
- In the area mentioned above
3. (Company)
- having its registered office or having its principal place of business in the area mentioned above"
1022,"In the territory of:-
Gopal Pura Mod to Ridhi Sidhi Chauraha and Gopalpura Mod to B2 Byepass and its adjoining colonies. This areas includes the following colonies- Mahaveer Nagar I/II and its surrounded colonies of Durgapura Railway line, Triveni Nagar, 10B scheme and its adjoining colonies, Gopalpura Village, Milap Nagar, Green Nagar, Mata Colony, Durgapura, Sitabari, Basant Vihar

A. 1. Non Company
- income from sources other than income from business or profession
- In the area mentioned above
- (excluding source of income from (i) “Salary” & (ii) Legal, medical, engineering or architectural profession or the  profession of accountancy or technical consultancy or interior decoration or any other profession)
2. Non Company
- income from business or profession
- In the area mentioned above
3. (Company)
- having its registered office or having its principal place of business in the area mentioned above
B.(Salaried)
- In the District of Jaipur other than tehsils of Kotputali, Shahpura and Virat Nagar
- Income is from (only Central Government, Semi Government , Autonomous bodies, PSUs of Central & Stat Government)
- first names begin with the alphabet ‘S’"
1023,"In following territory:-
i) District of Jaipur (other than the Tehsils of Kotputli, Shahpura and Virat Nagar) not covered under the jurisdiction of Principal Commissioner/Commissioner of Income Tax Jaipur-1 and Principal Commissioner/ Commissioner of Income Tax Jaipur-2 
ii) Tonk District

A. 1. Non Company
- income from sources other than income from business or profession
- Total income/loss Rs. 15 lakhs and above
- In the area mentioned above
- (excluding source of income from (i) “Salary” & (ii) Legal, medical, engineering or architectural profession or the  profession of accountancy or technical consultancy or interior decoration or any other profession)
2. Non Company
- income from business or profession
- Total income/loss Rs. 15 lakhs and above
- In the area mentioned above & District of Jaipur (other than the Tehsils of Kotputli, Shahpura and Virat Nagar)
3. (Company)
- Total income/loss Rs. 20 lakhs and above
- having its registered office or having its principal place of business - In the area mentioned above & District of Jaipur (other than the Tehsils of Kotputli, Shahpura and Virat Nagar)

B.(Salaried)
- In the District of Tonk & In the District of Jaipur other than tehsils of Kotputali, Shahpura and Virat Nagar
- Total income/loss Rs. 15 lakhs and above
- first names begin with the alphabet ‘M’ or ‘T’ or ‘U’ or ‘V’ or ‘W’ or ‘X’ or ‘Y’ or ‘Z’"
1024,"A. 1. Non Company
- income from sources other than income from business or profession
- In the territory of Tehsils of Sanganer, Phagi, Chaksu
- (excluding source of income from (i) “Salary” & (ii) Legal, medical, engineering or architectural profession or the  profession of accountancy or technical consultancy or interior decoration or any other profession)
2. Non Company
- income from business or profession
- In the territory of Tehsils of Sanganer, Phagi, Chaksu
3. (Company)
- having its registered office or having its principal place of business in the territory of Tehsils of Sanganer, Phagi, Chaksu

B.(Salaried)
- In the District of Jaipur other than tehsils of Kotputali, Shahpura and Virat Nagar
- first names begin with the alphabet ’T’"
1025,"In the territory of :- 
i) Left side from Chhoti Chopar to Brahampuri, Right side lanes from Chhoti Chopar to Chandpole Gate, Purani Basti, Right side of Chandpole Gate, Sikar House, Hazi colony, Khetri House, Power house Road, Nahri Ka Naka.

1. Non Company
- income from sources other than income from business or profession
- In the area mentioned above
- (excluding source of income from (i) “Salary” & (ii) Legal, medical, engineering or architectural profession or the  profession of accountancy or technical consultancy or interior decoration or any other profession)
2. Non Company
- income from business or profession
- In the area mentioned above
3. (Company)
- having its registered office or having its principal place of business in the area mentioned above"
1037,"(Individual) 
- (Salaried)
- (a) All employees & pensioners of Banks &
- (b) All persons deriving income from brokerage on trading in shares
- returned income/loss below Rs. 10 lakh
- residing and/ or having their place of business in the districts of Kanpur Nagar & Kanpur Dehat"
1038,"In the area of (a) Chaks 13, 15 to 18, 19 to 37, 51 to 54, 55 to 72 of Kanpur Nagar.
(b) Areas of Navin Market, Jajmau, Lal Bangla, Krishna Nagar, Harjinder Nagar, Cantonment, Sujatganj, Dehli Sujanpur, Sujatganj Gaon, Gandhigram, Defence Colony, New Defence colony, Gajjupurwa, Gangapur, Jajmau, Jagaipur, Krishnanagar, Jagaipurwa, Kajikhera, Pokharpur, Pardevanpurwa, Ruma, Sanigwa, Safipur, Kulgaon, Ahirwan, Bhagwant Ki Tatia, Ujyaripurwa, Saraswati Nagar, Gadiana, Girjanagar, Ganeshpur, Gangavihar, Gayatrinagar, Patelnagar, Singha Ki Tatia, Kasigwa of Kanpur Nagar.

1. (Individual) 
- (Salaried)
- Returned income/loss below Rs. 10 lakh
- In the area mentioned above
- name starting with alphabets 'N', 'P' to 'R'

2. (Individual) 
-  (Non-Salaried) 
- Returned income/loss below Rs. 10 lakh
-  having principal place of business is within the territorial area mentioned above
- name starting with alphabets 'N', 'P' to 'R'"
1039,"In the area of (a) District of Kanpur Nagar & Kanpur Dehat (Ramabai Nagar)
(b) District of Jalaun

All cases having income above the limit prescribed for the ITOs of the Range 4, Kanpur."
1040,"In the area of (a) Chaks 13, 15 to 18, 19 to 37, 51 to 54, 55 to 72 of Kanpur Nagar.
(b) Areas of Navin Market, Jajmau, Lal Bangla, Krishna Nagar, Harjinder Nagar, Cantonment, Sujatganj, Dehli Sujanpur, Sujatganj Gaon, Gandhigram, Defence Colony, New Defence colony, Gajjupurwa, Gangapur, Jajmau, Jagaipur, Krishnanagar, Jagaipurwa, Kajikhera, Pokharpur, Pardevanpurwa, Ruma, Sanigwa, Safipur, Kulgaon, Ahirwan, Bhagwant Ki Tatia, Ujyaripurwa, Saraswati Nagar, Gadiana, Girjanagar, Ganeshpur, Gangavihar, Gayatrinagar, Patelnagar, Singha Ki Tatia, Kasigwa of Kanpur Nagar.

1. (Individual) 
- (Salaried)
- returned income/loss of Rs. 10 lakh and above
- In the area mentioned above
- name starting with alphabets 'A' to 'Z'
- All Trust/Society cases (not claiming exemption under clauses 21, 22B, 23A, 23AAA, 23B, 23C, 23F, 23FA, 24, 46, 47 of sec. 10, Sec. 11, Sec. 12, Sec. 13A & Sec. 13B of the Income Tax Act, 1961)

2. (Individual) 
-  (Non-Salaried) 
- returned income/loss of Rs. 10 lakh and above
-  having principal place of business is within the territorial area mentioned above
- name starting with alphabets 'A' to 'Z'"
1041,"
1. (Individual) 
- (Salaried)
- returned income/loss below Rs. 10 lacs
- In the area of Districts of Jalaun

2. (Individual)  
- (Non-Salaried) 
- returned income/loss below Rs. 10 lacs
- having principal place of business or profession is within the territorial area of Districts of Jalaun

3. (Company) 
- returned income/loss below Rs. 15 lacs
- having its registered office or principal place of business in the Districts of Jalaun"
1048,"In the area of (a) Chaks 13, 15 to 18, 19 to 37, 51 to 54, 55 to 72 of Kanpur Nagar.
(b) Areas of Navin Market, Jajmau, Lal Bangla, Krishna Nagar, Harjinder Nagar, Cantonment, Sujatganj, Dehli Sujanpur, Sujatganj Gaon, Gandhigram, Defence Colony, New Defence colony, Gajjupurwa, Gangapur, Jajmau, Jagaipur, Krishnanagar, Jagaipurwa, Kajikhera, Pokharpur, Pardevanpurwa, Ruma, Sanigwa, Safipur, Kulgaon, Ahirwan, Bhagwant Ki Tatia, Ujyaripurwa, Saraswati Nagar, Gadiana, Girjanagar, Ganeshpur, Gangavihar, Gayatrinagar, Patelnagar, Singha Ki Tatia, Kasigwa of Kanpur Nagar.

1. (Individual) 
- (Salaried)
- Returned income/loss below Rs. 10 lakh
- In the area mentioned above
- name starting with alphabets 'A' to 'F'

2. (Individual) 
-  (Non-Salaried) 
- Returned income/loss below Rs. 10 lakh
-  having principal place of business is within the territorial area mentioned above
- name starting with alphabets 'A' to 'F'"
1065,PAN ALLOTMENTN FOR GOVT ORGANISATION
1067,"i) All Company Cases where return income/loss up to Rs. 15 lakhs
being companies having registered office or principal place of business in the district of Moradabad and whose name(s) start with alphabets from ‟K‟ to ‟Q‟
ii) All cases of individuals being Managing Director or Director or
Manager of Secretary in the companies referred to in the item no (i)
above. 
iii) All persons where return income/loss is upto Rs.10 Lacs other than companies including persons having principal source of income including income from salary residing or having principal place of business in Moradabad whose name start with alphabets from ‟K‟ to ‟Q‟."
1069,"i) All COMPANY CASES starting with letter A to Z of English Alphabet, having return income/loss up to Rs. 15 lakhs only and their Directors & Managing Directors, falling under territorial Areas falling under the Revenue District of Sitapur
ii) All NON-COMPANY CASES/Salary/Pension starting with letter A to Z of English Alphabet having return income/loss is up to Rs. 10 lakhs falling under territorial Areas falling under the Revenue District of Sitapur"
1070,"i) All Company Cases where return income/loss up to Rs. 15 lakhs
being companies having registered office or principal place of business in the district of Moradabad and whose name(s) start with alphabets from ‟N‟ to ‟Z‟
ii) All cases of individuals being Managing Director or Director or
Manager of Secretary in the companies referred to in the item no (i)
above.
iii) All persons where return income/loss is upto Rs.10 Lacs other than companies including persons having principal source of income including income from salary residing or having principal place of business in Moradabad whose name start with alphabets from ‟N‟ to ‟Z‟."
1082,"i) All cases of persons within the territorial jurisdiction as mentioned in the corresponding Revenue Districts of Lucknow, Barabanki, Unnao, Faizabad, Sultanpur, Amethi, Pratapgarh, Raebareli, Jaunpur, Basti, Gonda, Bahraich, Balrampur, Shrawasti, Ambedkar Nagar, Siddharth Nagar, Sant Kabir Nagar, Moradabad,
Sambhal, Rampur, Amroha(Jyotiba Rao Phule Nagar), Badaun, Bijnore, Bareilly, Shahjahanpur, Pilibhit, Hardoi, Sitapur,
Lakhimpur Kheri, Allahabad, Kaushambi, Fatehpur, Mirzapur,
Sonebhadra, Varanasi, Bhadohi(Sant Ravi Das Nagar), Ballia, Ghazipur, Chandauli, Gorakhpur, Deoria, Mau, Azamgarh, Maharajganj and Kushinagar(Padrauna) in the State of U.P.
(ii) All the Revenue Districts in the
States of U.P. and Uttarakhand. and having income above
Rs.5 crore and claiming exemption under clauses (21), (22), (22A), (22B), (23), (23A), (23AAA), (23B), (23C), (23F), (23FA), (24), (46) and (47) of section 12 of the Income Tax Act, 1961.
ii) All cases of persons within the territorial jurisdiction as mentioned in the corresponding entry in Column No. (3) and claiming exemption u/s 13A and u/s 13B of the Income Tax Act."
1083,"i) All COMPANY CASES where return income/loss is upto Rs. 15 lacs being companies having registered office or principal place of business in the Sambhal Tehsil of District Sambhal.
ii) All cases of individuals being Managing Director or Director orManager or secretary in the companies referred to in the item no. (i) above.
(iii) All persons where return income/loss is upto Rs. 10 lacs other than companies including persons having principal source of income including income from salary residing or having principal place of business in Sambhal Tehsil of District Sambhal."
1085,"i) All COMPANY CASES starting with letter „A‟ to „C‟ of English
Alphabet, having return income/loss up to Rs. 15 lakhs only and their
Directors & Managing Directors, falling under territorial Areas falling under the Revenue District of Bareilly
ii) All NON-COMPANY CASES/Salary/Pension starting with letter ‟A‟ to ‟C‟ of English Alphabet having return income/loss is up to Rs. 10 lakhs falling under territorial Areas falling under the Revenue District of Bareilly,
"
1086,"i) All COMPANY CASES starting with letter ‟A‟ to ‟M‟ of English
Alphabet, having return income/loss up to Rs. 15 lakhs only and their Directors & Managing Directors, falling under territorial Areas falling under the Revenue District of Shahjahanpur
ii) All NON-COMPANY CASES/Salary/Pension starting with letter ‟A‟ to ‟M‟ of English Alphabet having return income/loss is up to Rs. 10 lakhs falling under territorial Areas falling under the Revenue District of Shahjahanpur"
1087,"i) All COMPANY CASES starting with letter ‟A‟ to ‟M‟ of English
Alphabet, having return income/loss up to Rs. 15 lakhs only and their Directors & Managing Directors, falling under territorial area as
mentioned in Areas falling under the Revenue District of Lakhimpur Khiri
ii) All NON-COMPANY CASES/Salary/Pension starting with letter ‟A‟ to ‟M‟ of English Alphabet having return income/loss is up to Rs. 10 lakhs falling under territorial Areas falling under the Revenue District of Lakhimpur Khiri"
1088,"i) All COMPANY CASES starting with letter A to M of English Alphabet, having return income/loss up to Rs. 15 lakhs only and their Directors & Managing Directors, falling under territorial Areas falling under the Revenue District of Hardoi
ii) All NON-COMPANY CASES/Salary/Pension starting with letter A to M of English Alphabet having return income/loss is up to Rs. 10 lakhs falling under territorial Areas falling under the Revenue District of Hardoi"
1097,"i) All company cases starting with alphabet ‟Aa‟ to ‟Ak‟ having return income/loss up to Rs. 15 lakhs only and their Directors/Managing Directors.
ii) All non-company cases starting with A, B. & D where return income/loss is below Rs. 10 lakhs falling under the territorial Areas falling under the following Postal Index Number (PIN) Codes of Lucknow District:-
226010 – Gomti Nagar,
226016 – Indira Nagar,
226019 – Chinhat Industrial Area,
227105 - Chinhat
iii. All persons starting with A, B & D having principal source of income as “Salary”/“Pension” being less than Rs Ten Lakhs, from Central Government Offices, Corporations , Undertaking or Institutions."
1098,"i) All company cases starting with letter ‟G‟ of English Alphabet having return income/loss up to Rs. 15 lakhs only and their Directors & Managing Directors 
ii) All non-company cases starting with letter A & C where return income/loss is below Rs. 10 lakhs falling under the territorial Areas falling under the following Postal Index Number (PIN) Codes of Lucknow District:-
226007- New Hyderabad,
226013 – IIM, Mubarakpur,
226015-CIMAP,
226021-Sector-C, Sitapur Road,
226022- Vikas Nagar,
226023- Manas 226024 Aliganj,
226026-Behta,
227202-Baxi Ka Talab,
227205-Itaunja,
227207-FFTC Indaurabagh
Nagar, iii. All persons starting with letter A & C having principal source of income as “Salary”/ “Pension” up to Rs Ten Lakhs, from Life Insurance Corporation of India (LIC), General Insurance Corporation Companies and from Private Sector employers or establishments."
1099,"Ai) All company cases starting with A & B letter of English Alphabet, having return income/loss , exceeding Rs 15 lakhs & above and their Directors & Managing Directors in the Revenue District of Lucknow and Unnao.
ii) All non-company cases where return income/loss is more than Rs. 10 lakhs falling under Areas falling under the following
Postal Index Number (PIN) Codes of Lucknow District:-
226010 – Gomti Nagar, 
226016 – Indira Nagar,
226019 – Chinhat Industrial Area,
227105 - Chinhat
iii. All persons having principal source of income as “Salary”/ “Pension” exceeding Rs Ten Lakhs, from Central Government Offices, Corporations , Undertaking or Institutions."
1100,"i) All company cases starting with letter ‟Ga‟, ‟Ha‟, ‟Ia‟, & ‟Ja‟ having return income/loss up to Rs. 15 lakhs only and their Directors/Managing Directors.
ii)All non-company cases starting with B, D, E, F, I, L, O, Q, T, U, V, W, X, Y & Z of English Alphabet having return income/loss below Rs. 10 lakhs falling under the territorial Areas falling under
the following Postal Index Number (PIN) Codes of Lucknow
District:- 
226007- New Hyderabad,
226013 – IIM, Mubarakpur,
226015-CIMAP,
226021-Sector-C, Sitapur Road,
226022- Vikas Nagar, 
226023- Manas Nagar,
226024 Aliganj,
226026-Behta,
227202-Baxi Ka Talab,
227205-Itaunja,
227207-FFTC Indaurabagh
iii. All persons starting with B, D, E, F, I, L, O, Q, T, U, V, W, X, Y & Z having principal source of income as “Salary”/“Pension” being less than Rs Ten Lakhs, from Life Insurance Corporation of India (LIC), General Insurance Corporation Companies and from Private Sector employers or establishments."
1106,"their Directors/Managing Directors. 
ii)All non-company cases starting with S & T having return income/loss below Rs. 10 lakhs falling under the territorial Areas falling under the following Postal Index Number (PIN) Codes of Lucknow District:- 
226010 – Gomti Nagar,
226016 – Indira Nagar,
226019 – Chinhat Industrial Area,
227105 - Chinhat
iii. All persons starting with S & T having principal source of income as “Salary”/ “Pension” being less than Rs Ten Lakhs, from Central Government Offices, Corporations , Undertaking or Institutions."
1107,"i) All company cases starting with G, H, I & J letter of English Alphabet, having return income/loss , exceeding Rs 15 lakhs & above and their Directors & Managing Directors falling in the Revenue District of Lucknow
ii) All non-company cases where return income/loss is more than Rs. 10 lakhs falling under Areas falling under the following Postal
Index Number (PIN) Codes of Lucknow District:-
226007- New Hyderabad,
226013 – IIM, Mubarakpur,
226015-CIMAP,
226021-Sector-C, Sitapur Road,
226022- Vikas Nagar,
226023- Manas Nagar, 
226024 Aliganj,
226026-Behta,
227202-Baxi Ka Talab,
227205-Itaunja,
227207-FFTC Indaurabagh .
iii. All persons having principal source of income as “Salary”/ “Pension” exceeding Rs Ten Lakhs, from Life Insurance Corporation of India (LIC), General Insurance Corporation Companies and from Private Sector employers or establishments."
1112,"CATEGORY:  Business / Profession 
ALPHABET WITH MONETORY LIMIT:  C TO  N - Above 10 Lakhs      
JURISDICTION AREA: Madurai district"
1113,"CATEGORY:  Business / Profession 
ALPHABET WITH MONETORY LIMIT:   C TO  F - Upto 10 Lakhs 
JURISDICTION AREA: Madurai district"
1114,"CATEGORY:  Business / Profession 
ALPHABET WITH MONETORY LIMIT:  J TO L - Upto 10 Lakhs
JURISDICTION AREA: Madurai district"
1115,"CATEGORY: 
1.(Salaried) - State Govt & its undertaking - emplys / Retd.
2. All Co-Operative Societies
3. Local Authorities
ALPHABET WITH MONETORY LIMIT: All alphabets
JURISDICTION AREA: Madurai district"
1116,"CATEGORY: 
1. Companies /  MDs
2. All Business / Profession / Salary 
ALPHABET WITH MONETORY LIMIT: 
1. A TO Z -Above 15 Lakhs
2. A TO Z - Above 10 Lakhs
JURISDICTION AREA: Tirunelveli District"
1117,"CATEGORY: 
1. Companies /  MDs
2. All Business / Profession / Salary 
ALPHABET WITH MONETORY LIMIT: 
1. A TO F - Upto 15 Lakhs
2. A TO F - Upto 10 Lakhs
JURISDICTION AREA: Tirunelveli District"
1118,"CATEGORY: 
1. Companies /  MDs
2. All Business / Profession / Salary 
ALPHABET WITH MONETORY LIMIT: 
1. Q TO S - Upto 15 Lakhs
2. Q TO S - Upto 10 Lakhs
JURISDICTION AREA: Tirunelveli District"
1120,"CATEGORY:  Companies /  MDs
ALPHABET WITH MONETORY LIMIT: A TO L - Above 15 Lakhs
JURISDICTION AREA: Madurai & Virudhunagar "
1121,"CATEGORY:  Companies /  MDs
ALPHABET WITH MONETORY LIMIT: K TO Q - Upto 15 Lakhs
JURISDICTION AREA: Madurai & Virudhunagar "
1122,"CATEGORY:  Companies /  MDs
ALPHABET WITH MONETORY LIMIT: R & T to Z - Upto 15 Lakhs
JURISDICTION AREA: Madurai & Virudhunagar "
1123,"CATEGORY: 
1.(Salaried) - Bank, Fin. instt.  run by any concern - emplys / Retd
2. All  Medical Instt. run by any concern.
ALPHABET WITH MONETORY LIMIT: All alphabets
JURISDICTION AREA: Madurai district"
1133,"CATEGORY: 
1. Business / Profession 
2.(Salaried)
ALPHABET WITH MONETORY LIMIT: 
1. A & B - Above 10 Lakhs      
2. A to Z - Above 10 Lakhs
JURISDICTION AREA: Madurai district"
1134,"CATEGORY:  Business / Profession 
ALPHABET WITH MONETORY LIMIT:  A & B - Above 10 Lakhs      
JURISDICTION AREA: Madurai district"
1137,"CATEGORY:  Companies /  MDs
ALPHABET WITH MONETORY LIMIT: A TO J - Upto 15 Lakhs
JURISDICTION AREA: Madurai & Virudhunagar "
1138,"CATEGORY:  Companies /  MDs
ALPHABET WITH MONETORY LIMIT: S - Upto 15 Lakhs
JURISDICTION AREA: Madurai & Virudhunagar "
1149,"1. (Individual) 
- (Salaried)
- in the area of District of Muzaffarnagar (Excluding Tehsil Khatauli, Budhana and Jansath) and District of Shamli
- name begin with the alphabet ‘A’ to ‘M’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Muzaffarnagar (Excluding Tehsil Khatauli, Budhana and Jansath) & District of Shamli
- name begin with the alphabet ‘A’ to ‘M’ 

3. (Company) 
- having its registered office or principal place of business in the area of District of Muzaffarnagar (Excluding Tehsil Khatauli, Budhana and Jansath) and District of Shamli
- name begin with the alphabet ‘A’ to ‘M’"
1151,"1. (Individual) 
- (Salaried)
- in the area of District of Shamli
- name begin with the alphabet ‘A’ to ‘O’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Shamli
- name begin with the alphabet ‘A’ to ‘O’

3. (Company) 
- having its registered office or principal place of business in the area of District of Shamli
- name begin with the alphabet ‘A’ to ‘O’"
1152,"1. (Individual) 
- (Salaried)
- in the area of District of Muzaffarnagar (Excluding Tehsil Khatauli, Budhana and Jansath)
- name begin with the alphabet ‘B’ to ‘J’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Muzaffarnagar (Excluding Tehsil Khatauli, Budhana and Jansath)
- name begin with the alphabet ‘B’ to ‘J’

3. (Company) 
- having its registered office or principal place of business in the area of District of Muzaffarnagar (Excluding Tehsil Khatauli, Budhana and Jansath) 
- name begin with the alphabet ‘B’ to ‘J’"
1153," - All persons with returned income below Rs. 15 lacs 
- starting with alphabet ‘B’ to ‘D’. 
- In the state of Uttarakhand- District of Dehradun excluding Rishikesh Tehsil.)"
1160,"1. (Individual) 
- (Salaried)
- in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘Q’, ‘T’, ‘U’, ‘W’ to ‘Z’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘Q’, ‘T’, ‘U’, ‘W’ to ‘Z’

3. (Company) 
- having its registered office or principal place of business in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘Q’, ‘T’, ‘U’, ‘W’ to ‘Z’"
1161,"1. (Individual) 
- (Salaried)
- in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘Q’ to ‘U’ & ‘W’ to ‘Z’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘Q’ to ‘U’ & ‘W’ to ‘Z’

3. (Company) 
- having its registered office or principal place of business in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘Q’ to ‘U’ & ‘W’ to ‘Z’"
1162,"1. (Individual) 
- (Salaried)
- in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘RA’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘RA’

3. (Company) 
- having its registered office or principal place of business in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘RA’"
1163,"1. (Individual) 
- (Salaried)
- in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘A’ 

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘A’ 

3. (Company) 
- having its registered office or principal place of business in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘A’ "
1164,"1. (Individual) 
- (Salaried)
- in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘SA’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘SA’

3. (Company) 
- having its registered office or principal place of business in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘SA’"
1168," - All persons with returned income below Rs. 15 lacs 
- starting with alphabet ‘A’. 
- In the state of Uttarakhand- District of Dehradun excluding Rishikesh Tehsil."
1169," - All persons with returned income of Rs. 15 lacs and above 
- starting with alphabets from A to M. 
- In the state of Uttarakhand- District of Dehradun excluding Rishikesh Tehsil."
1175,"1. (Individual) 
- (Salaried)
- in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘I’ and ‘J’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘I’ and ‘J’

3. (Company) 
- having its registered office or principal place of business in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘I’ and ‘J’"
1176,"1. (Individual) 
- (Salaried)
- in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘RB’ to ‘RZ’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘RB’ to ‘RZ’

3. (Company) 
- having its registered office or principal place of business in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘RB’ to ‘RZ’"
1177,"1. (Individual) 
- (Salaried)
- in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘SB’ to ‘SZ’

2. (Individual)  
- (Non-Salaried) 
- having principal place of business or profession is within the territorial area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘SB’ to ‘SZ’

3. (Company) 
- having its registered office or principal place of business in the area of District of Gautam Buddh Nagar
- name begin with the alphabet ‘SB’ to ‘SZ’"
